"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","weekdays_num"
2007-09-01,"00:00:00",0.908,0,243.04,5.4,0,0,19,6
2007-09-01,"00:01:00",0.838,0,243.3,5.2,0,0,19,6
2007-09-01,"00:02:00",0.814,0,243.4,5.2,0,0,18,6
2007-09-01,"00:03:00",1.26015,0,243.47,5.2,0,0,19,6
2007-09-01,"00:04:00",0.3,0,243.55,5.4,0,1,19,6
2007-09-01,"00:05:00",1.2246,0.054,243.73,5.6,0,0,19,6
2007-09-01,"00:06:00",1.2061,0.086,243.24,5.6,0,0,19,6
2007-09-01,"00:07:00",1.18695,0.08,243.24,5.6,0,0,18,6
2007-09-01,"00:08:00",1.168,0.088,243.95,5.6,0,0,19,6
2007-09-01,"00:09:00",1.14905,0.08,243.32,5.6,0,0,19,6
2007-09-01,"00:10:00",0.182,0.214,243.06,6.2,0,0,19,6
2007-09-01,"00:11:00",1.1115,0.216,243.23,6,0,0,18,6
2007-09-01,"00:12:00",0.258,0.222,243.15,6,0,1,19,6
2007-09-01,"00:13:00",1.07155,0.218,243.16,6,0,0,19,6
2007-09-01,"00:14:00",0.258,0.224,243.24,6,0,0,19,6
2007-09-01,"00:15:00",0.256,0.218,243.3,6,0,0,18,6
2007-09-01,"00:16:00",0.254,0.224,243.41,6,0,0,19,6
2007-09-01,"00:17:00",0.98695,0.218,243.4,6,0,0,19,6
2007-09-01,"00:18:00",0.9678,0.224,243.38,6,0,1,19,6
2007-09-01,"00:19:00",0.94915,0.162,243.47,5.8,0,0,19,6
2007-09-01,"00:20:00",0.93,0.12,243.93,5.8,0,0,18,6
2007-09-01,"00:21:00",0.91085,0.114,243.9,5.6,0,0,19,6
2007-09-01,"00:22:00",0.8906,0.12,244.05,5.6,0,0,19,6
2007-09-01,"00:23:00",0.86875,0.114,243.98,5.6,0,0,19,6
2007-09-01,"00:24:00",0.84595,0.116,243.02,5.6,0,1,19,6
2007-09-01,"00:25:00",0.82255,0.112,243.39,5.6,0,0,19,6
