"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","weekdays_num"
2007-06-02,"00:00:00",0.5976,0,245.64,0.6,0,0,0,6
2007-06-02,"00:01:00",0.392,0,245.71,0.6,0,0,1,6
2007-06-02,"00:02:00",0.62615,0,246.03,0.6,0,0,1,6
2007-06-02,"00:03:00",0.6374,0,245.94,0.6,0,0,0,6
2007-06-02,"00:04:00",0.454,0,246.13,0.6,0,0,1,6
2007-06-02,"00:05:00",0.6499,0,246.18,0.6,0,0,1,6
2007-06-02,"00:06:00",0.53,0.096,245.92,1.2,0,0,1,6
2007-06-02,"00:07:00",0.53,0.096,245.73,1,0,0,0,6
2007-06-02,"00:08:00",0.528,0.098,246,1,0,0,1,6
2007-06-02,"00:09:00",0.6717,0.098,246.23,1,0,0,1,6
2007-06-02,"00:10:00",0.526,0.106,246.14,1.2,0,0,0,6
2007-06-02,"00:11:00",0.6799,0.236,245.83,1.6,0,0,1,6
2007-06-02,"00:12:00",0.528,0.236,245.65,1.6,0,0,1,6
2007-06-02,"00:13:00",0.53,0.238,245.76,1.6,0,0,0,6
2007-06-02,"00:14:00",0.53,0.232,244.9,1.6,0,0,1,6
2007-06-02,"00:15:00",0.574,0.232,244.9,1.6,0,0,1,6
2007-06-02,"00:16:00",0.69165,0.232,244.79,1.6,0,0,0,6
2007-06-02,"00:17:00",0.6946,0.178,244.64,1.4,0,0,1,6
2007-06-02,"00:18:00",0.69755,0.124,244.75,1.2,0,0,1,6
2007-06-02,"00:19:00",0.604,0.118,242.64,1.2,0,0,0,6
2007-06-02,"00:20:00",0.602,0.118,242.83,1.2,0,0,1,6
2007-06-02,"00:21:00",0.70705,0.122,243.86,1.2,0,0,1,6
2007-06-02,"00:22:00",0.662,0.122,244.12,1.2,0,0,0,6
2007-06-02,"00:23:00",0.708,0.046,244.31,1,0,0,1,6
2007-06-02,"00:24:00",0.72385,0,244.27,0.6,0,0,1,6
2007-06-02,"00:25:00",0.72975,0,244.27,0.6,0,0,0,6
2007-06-02,"00:26:00",0.696,0,242.4,0.6,0,0,1,6
2007-06-02,"00:27:00",0.7444,0,241.67,0.6,0,0,1,6
2007-06-02,"00:28:00",0.7505,0,241.7,0.6,0,0,1,6
